Kod;Situation;Procent
1A;Utsänd till Kanada, USA, Indien, Sydkorea;0.2391
1B;Utsänd till Kanada, USA, Indien, Sydkorea och reducerad avgift först anställd ;0.1021
1C;Utsänd till Québec;0.2411
1D;Utsänd till Québec och reducerad avgift först anställd ;0.1021
2A;Utsänd från USA och Sydkorea men svensk utbetalare (inom koncernen) betalar ersättningen;0.1913
2B;Utsänd från USA och Sydkorea men svensk utbetalare (inom koncernen) betalar ersättningen och reducerad avgift först anställd;0
2C;Utsänd från Québec men svensk utbetalare (inom koncernen) betalar ersättningen;0.1844
2D;Utsänd från Québec men svensk utbetalare (inom koncernen) betalar och reducerad avgift först anställd;0
3A;Utländsk AG_Utsänd från Kanada, USA, Indien, Sydkorea;0.0751
3B;Utländsk AG_Utsänd från Kanada, USA, Indien, Sydkorea och reducerad avgift först anställd;0
3C;Utländsk AG_Utsänd från Québec;0.0731
3D;Utländsk AG_Utsänd från Québec och reducerad avgift först anställd;0
4A;Utländsk AG_Utsänd till Sydkorea men utbetalare i Sydkorea (inom koncernen) betalar ersättningen;0.1229
4B;Utländsk AG_Utsänd till Sydkorea men utbetalare i Sydkorea (inom koncernen) betalar ersättningen och reducerad avgift först anställd;0.1021
4C;Utländsk AG_Utsänd till Québec men utbetalare i Quèbec (inom koncernen) betalar ersättningen;0.1249
4D;Utländsk AG_Utsänd till Québec men utbetalare i Quèbec (inom koncernen) betalar ersättningen och reducerad avgift först anställd ;0.1021
0;Vanlig lokalare;0.3142
